WikiProject Biography,Biography,GA-Class
WikiProject United States,United States,GA-Class
WikiProject Football,Football,C-Class
WikiProject Military history,Military history,GA-Class
WikiProject Australia,Australia,B-Class
WikiProject Albums,Album,C-Class
WikiProject Film,Film,C-Class
WikiProject India,India,C-Class
WikiProject Cities,WikiProject Cities,C-Class
WikiProject Canada,Canada-related,C-Class
WikiProject Olympics,Olympics,C-Class
WikiProject France,France,C-Class
WikiProject Television,Television,C-Class
WikiProject Germany,Germany,C-Class
WikiProject Poland,Poland,Start-Class
WikiProject Iran,Iran,Start-Class
WikiProject Geography,Geography,Start-Class
WikiProject Trains,Rail transport,C-Class
WikiProject Plants,Plant,Start-Class
WikiProject Songs,Song,C-Class
WikiProject Africa,Africa,C-Class
WikiProject Japan,Japan-related,C-Class
WikiProject Russia,Russia,C-Class
WikiProject Christianity,Christianity,C-Class
WikiProject Aviation,Aviation,C-Class